token_normalizado,resolucion_canonica,categoria,validar,observaciones,frecuencia_total,datasets_presentes,ejemplos_raw
acep compet,acepta competencia,competencia,,,1,1,Acep compet/sobres
acept compet par,acepta competencia,competencia,,,1,1,Acept compet par
acepta comp.,acepta competencia,competencia,,,1,1,Acepta Comp.
acepta competen,acepta competencia,competencia,,,5,1,Acepta competen
acepta competencia,acepta competencia,competencia,,,104,3,Acepta competencia | acepta Competencia | Acepta Competencia - Sobreseimiento
acepta competencia parcial,acepta competencia,competencia,,,2,1,acepta competencia parcial
acepta parc compet,acepta competencia,competencia,,,1,1,Acepta parc compet
acepta parcialmente competencia,acepta competencia,competencia,,,5,1,acepta parcialmente competencia
comp,acepta competencia,competencia,,,2,1,Comp/Sobreseimiento | Comp /  no al sob
comp parcial,acepta competencia,competencia,,,1,1,Comp parcial
competencia,acepta competencia,competencia,,,4,2,Competencia
competencia aceptada,acepta competencia,competencia,,,35,1,Competencia Aceptada | competencia aceptada
competencia aceptada parcialmente,acepta competencia,competencia,,,1,1,competencia aceptada parcialmente
competencia parcialmente aceptada,acepta competencia,competencia,,,1,1,competencia parcialmente aceptada
no hace lugar a declinatoria,acepta competencia,competencia,,,1,1,no hace lugar a declinatoria
no hace lugar declin,acepta competencia,competencia,,,1,1,No hace lugar declin
aclaratoria,aclaratoria,varios,,,1,1,Aclaratoria
actualizar antecdt,actualización de antecedentes,varios,,,1,1,Actualizar antecdt
allanamiento,allanamiento,allanamiento,,,29,3,"Allanamiento | allanamiento | Allanamiento,  No hace lugar a detención"
allanamiento y secuestro,allanamiento,allanamiento,,,2,1,Allanamiento y secuestro | allanamiento y secuestro
convalida allanamiento,allanamiento,allanamiento,,,2,1,convalida allanamiento-secuestro/autoriza apertura | detención concedida - convalida allanamiento
convalidacion de allanamiento,allanamiento,allanamiento,,,2,1,"convalidacion de allanamiento | convalidacion de allanamiento, cese de prision preventiva"
det y allanamiento,allanamiento,allanamiento,,,1,1,Det y allanamiento
orden allanamiento,allanamiento,allanamiento,,,2,1,orden allanamiento - HABILITACIÓN DE HORARIO | orden allanamiento - orden detención
orden de allanamiento,allanamiento,allanamiento,,,7,1,orden de allanamiento | orden de detención - orden de allanamiento | orden de allanamiento - no detención -no habilitación horario
ordena allanam,allanamiento,allanamiento,,,4,1,Ordena allanam
ordena allanamiento,allanamiento,allanamiento,,,6,2,Ordena allanamiento | ordena allanamiento - detención
ordena allanmien,allanamiento,allanamiento,,,1,1,Ordena allanmien
anticipo extraordinario de prueba,anticipo extraordinario de prueba,varios,,,2,1,anticipo extraordinario de prueba | cámara gessel/anticipo extraordinario de prueba
anticipo prueba,anticipo extraordinario de prueba,varios,,,9,3,Anticipo  prueba
camara gesell,anticipo extraordinario de prueba,varios,,,1,1,cámara gesell
hace lugar a prueba,anticipo extraordinario de prueba,varios,,,2,1,Hace lugar a prueba
acceso al contenido,apertura de celular,varios,,,1,1,autoriza apertura - acceso al contenido
apert. celular,apertura de celular,varios,,,22,2,Apert. Celular 
apertura cel,apertura de celular,varios,,,1,1,Secuesto/apertura cel
apertura celular,apertura de celular,varios,,,3,1,"apertura celular | allanamiento, detención, apertura celular"
apertura de celular,apertura de celular,varios,,,3,2,"falta de merito, prision preventiva, regimen de semilibertad, apertura de celular | apertura de celular"
apertura de documento,apertura de celular,varios,,,1,1,apertura de documento
autoriza aper de cel,apertura de celular,varios,,,1,1,Autoriza aper de cel
autoriza apertura,apertura de celular,varios,,,3,1,convertir secuestro / autoriza apertura | convalida allanamiento-secuestro/autoriza apertura | autoriza apertura - acceso al contenido
autoriza apertura celular,apertura de celular,varios,,,1,1,autoriza apertura celular
secuestro apertura,apertura de celular,varios,,,1,1,secuestro apertura
arresto domiciliado,arresto domiciliario,medida de coercion,,,1,1,medida de seguridad - arresto domiciliado
arresto domiciliario,arresto domiciliario,medida de coercion,,,21,3,"Arresto domiciliario | morigeracion de prision preventiva, Arresto domiciliario | arresto domiciliario"
arresto domiciliario denegado,arresto domiciliario,medida de coercion,,,1,1,Arresto domiciliario denegado
arresto domicliario,arresto domiciliario,medida de coercion,,,1,1,PP-arresto domicliario
arresto domiliario,arresto domiciliario,medida de coercion,,,1,1,"Prisión Preventiva, arresto domiliario, regimen de semilibertad"
en domicilio,arresto domiciliario,medida de coercion,,,2,1,mantiene medida de seguridad - en domicilio
modalidad arresto domiciliario,arresto domiciliario,medida de coercion,,,1,1,mantiene prisión preventiva - modalidad arresto domiciliario
acta art 336c,audiencia,descarte,si,"audiencia no es una resolucion, hay que chequear que se resolvio",1,1,Acta art 336C 
acta art 43 iey 13634,audiencia,descarte,si,"audiencia no es una resolucion, hay que chequear que se resolvio",1,1,Acta art 43 Iey 13634
acta aud art 336 c,audiencia,descarte,si,"audiencia no es una resolucion, hay que chequear que se resolvio",2,1,Acta aud Art 336 C 
acta aud art 43,audiencia,descarte,si,"audiencia no es una resolucion, hay que chequear que se resolvio",2,1,Acta aud art 43
acta sjp,audiencia,descarte,si,"audiencia no es una resolucion, hay que chequear que se resolvio",3,1,Acta SJP
atenuacion de la medida,audiencia,descarte,si,"audiencia no es una resolucion, hay que chequear que se resolvio",1,1,aud art. 43 - ATENUACIÓN DE LA MEDIDA
aud art. 336 c,audiencia,descarte,si,"audiencia no es una resolucion, hay que chequear que se resolvio",2,1,Aud art. 336 C  | Aud art. 336 C /sob
aud art. 43,audiencia,descarte,si,"audiencia no es una resolucion, hay que chequear que se resolvio",1,1,aud art. 43 - ATENUACIÓN DE LA MEDIDA
autoriza presentaciones de forma telematica,autorizacion de control telematico,varios,,,1,1,autoriza presentaciones de forma telemática
amplia salidas,autorizacion de salidas,varios,,,2,1,no arresto domiciliario-mantiene medida de seguridad - amplia salidas | mantiene medida de seguridad - amplia salidas
autoriza salida,autorizacion de salidas,varios,,,5,2,Autoriza salida | autoriza salida | autoriza Salida
autoriza salidas,autorizacion de salidas,varios,,,3,2,Autoriza Salidas | prisión preventiva - régimen de contención - autoriza salidas  | medida de seguridad  - autoriza salidas
autoriza viaje,autorizacion de salidas,varios,,,1,1,Autoriza Viaje/exh
autorizacion de salidas,autorizacion de salidas,varios,,,5,1,autorizacion de salidas
exh,autorizacion de salidas,varios,,,1,1,Autoriza Viaje/exh
haver lugar a la solicitud de moficicacion de la salida,autorizacion de salidas,varios,,,1,1,haver lugar a la solicitud de moficicación de la salida
mantiene salidas locales,autorizacion de salidas,varios,,,1,1,mantiene salidas locales
salida extraordinaria,autorizacion de salidas,varios,,,2,1,Salida extraordinaria | Salida Extraordinaria
se hace lugar a la modificacion de salidas,autorizacion de salidas,varios,,,1,1,se hace lugar a la modificación de salidas
autor. viaje,autorizacion de viaje,varios,,,1,1,Autor. Viaje
averig de paradero,averiguacion de paradero,varios,,,1,1,Averig de paradero
beneficio de litigar sin gastos,beneficio de litigar sin gastos,amparo,,,1,1,Beneficio de litigar sin gastos
cambio de calificacion,cambio de calificacion,varios,,,1,1,eleva a juicio/cambio de calificación/declina competencia
cambio de calificacion legal,cambio de calificacion,varios,,,2,1,cambio de calificación legal - libertad con obligaciones | cambio de calificación legal - prisión preventivo - régimen de contención
modifica calificacion legal,cambio de calificacion,varios,,,1,1,orden de allanamiento - no detención - modifica calificación legal
certificacion de antecedentes,certificacion de antecedentes,varios,,,1,1,certificacion de antecedentes
cesa prohibicion de acercamiento,cesa medida cautelar,ac 4099,,,1,1,Cesa Prohibición de acercamiento
cese acto peturbacion y hostigamiento,cesa medida cautelar,ac 4099,,,1,1,cese acto peturbación y hostigamiento
cese medida,cesa medida cautelar,ac 4099,,,1,1,Cese medida
cesa detencion,cese de medida de coercion,medida de coercion,,,2,1,Cesa detención | Cesa detención/SJP
cesa disposicion,cese de medida de coercion,medida de coercion,,,4,1,Cesa disposición | Cesa Disposición
cesa med coerc,cese de medida de coercion,medida de coercion,,,1,1,Cesa med coerc
cesa med. coercion,cese de medida de coercion,medida de coercion,,,1,1,Cesa med. Coerción
cesar disposicion,cese de medida de coercion,medida de coercion,,,2,1,Cesar disposición
cese de la aprehension de joven no punible,cese de medida de coercion,medida de coercion,,,1,1,conversión aprehensión - cese de la aprehensión de joven no punible
cese de prisin preventiva,cese de medida de coercion,medida de coercion,,,1,1,"cese de prisin preventiva, libertad con obligacion"
cese de prision preventiva,cese de medida de coercion,medida de coercion,,,4,1,"Cese de Prision Preventiva,  SJP | Cese de Prision Preventiva, nulidad, declina competencia | convalidacion de allanamiento, cese de prision preventiva"
cese medida de coercion,cese de medida de coercion,medida de coercion,,,2,1,cese medida de coerción / libertad/ suspensión de juicio a prueba | cese medida de coerción - libertad - suspensión de juicio a prueba
dispone cese med coe,cese de medida de coercion,medida de coercion,,,1,1,Dispone cese med coe
cesa med seg,cese de medida de seguridad,medida de coercion,,,1,1,Cesa Med Seg/sob
cesa med seguridad,cese de medida de seguridad,medida de coercion,,,1,1,Cesa med seguridad
cese de medida de seguridad,cese de medida de seguridad,medida de coercion,,,2,1,"cese de medida de seguridad, Sobreseimiento | cese de medida de seguridad, sorbeseimiento, derivacion"
cese medida de seguridad,cese de medida de seguridad,medida de coercion,,,7,1,cese medida de seguridad
cese medida seguridad,cese de medida de seguridad,medida de coercion,,,1,1,cese medida seguridad
comp. compulsivo,comparendo compulsivo,ordenes de detencion/captura/comparendos,,,1,1,Comp. Compulsivo
comparendo comp,comparendo compulsivo,ordenes de detencion/captura/comparendos,,,2,1,Comparendo comp | Comparendo comp 
comparendo compul,comparendo compulsivo,ordenes de detencion/captura/comparendos,,,1,1,Comparendo compul
comparendo compulsivo,comparendo compulsivo,ordenes de detencion/captura/comparendos,,,14,2,"rebeldia, Comparendo compulsivo, solicita inhibitoria | rebeldia, comparendo compulsivo | Rebeldía, comparendo compulsivo"
sin efecto el comparendo compulsivo,comparendo compulsivo sin efecto,ordenes de detencion/captura/comparendos,,,1,1,Remisión - sin efecto el comparendo compulsivo
amparo concedido,concede amparo,amparo,,,1,1,amparo concedido - declara incompetencia
concede apelacion,concede apelacion,apelacion,,,1,1,Concede apelacion
concede recurso,concede apelacion,apelacion,,,1,1,concede recurso
concede recurso apelacion,concede apelacion,apelacion,,,3,1,concede recurso apelación
concede resurso de apelacion contra honorarios,concede apelacion,apelacion,,,1,1,concede resurso de apelación contra honorarios
recurso apelacion concedido,concede apelacion,apelacion,,,3,1,Recurso Apelación Concedido
constituye particular damnificado,constituye particular damnificado,varios,,,1,1,constituye particular damnificado
conv apr en det,conversion de aprehension en detencion,medida de coercion,,,1,1,Conv apr en det
conv de aprehension,conversion de aprehension en detencion,medida de coercion,,,1,1,Conv de aprehensión
conv en denten,conversion de aprehension en detencion,medida de coercion,,,1,1,Conv en denten
convers detencion,conversion de aprehension en detencion,medida de coercion,,,1,1,Convers detención
conversion,conversion de aprehension en detencion,medida de coercion,,,25,3,Conversión | Conversion | conversión
conversion aprehension,conversion de aprehension en detencion,medida de coercion,,,1,1,conversión aprehensión - cese de la aprehensión de joven no punible
conversion aprehension en detencion,conversion de aprehension en detencion,medida de coercion,,,3,1,conversión aprehensión  en detención | conversión aprehensión en detención
conversion de aprehension,conversion de aprehension en detencion,medida de coercion,,,3,1,conversión de aprehensión
conversion de la aprehension,conversion de aprehension en detencion,medida de coercion,,,2,1,Conversión de la aprehensión | conversión de la aprehensión
conversion de la aprehension en detencion,conversion de aprehension en detencion,medida de coercion,,,6,1,conversión de la aprehensión en detención | conversión  de la aprehensión en detención
conversion de la aprension en detencion,conversion de aprehension en detencion,medida de coercion,,,1,1,conversión de la aprensión  en detención
conversion en aprehension,conversion de aprehension en detencion,medida de coercion,,,2,1,conversión en aprehensión
declara rebelde,declaracion de rebeldia,rebeldia,,,9,1,Declara rebelde
declara rebeldia,declaracion de rebeldia,rebeldia,,,1,1,declara rebeldía - comparendo compulsivo
declara incompetencia,declina competencia,competencia,,,1,1,amparo concedido - declara incompetencia
decli. comp,declina competencia,competencia,,,1,1,Libertad/decli. comp
declina compet,declina competencia,competencia,,,4,1,Declina Compet | Declina compet
declina competen,declina competencia,competencia,,,2,1,Declina competen
declina competencia,declina competencia,competencia,,,44,3,Declina Competencia | Declina competencia | declina competencia
descompensacion,declina competencia,competencia,,,1,1,Descompensación
incompetencia,declina competencia,competencia,,,5,1,Incompetencia | incompetencia | incompetencia  
incompetencia por conexidad,declina competencia,competencia,,,21,1,incompetencia por conexidad
incomptencia por conexidad,declina competencia,competencia,,,1,1,incomptencia por conexidad
incomptencia por territorio,declina competencia,competencia,,,1,1,incomptencia por territorio
radica causa,declina competencia,competencia,,,1,1,allanamiento/autoriza diligenciamiento/ radica causa
radica en otro juzgado,declina competencia,competencia,,,1,1,no detención/ orden de allanamiento/radica en otro juzgado
radica ipp en otro juzgado,declina competencia,competencia,,,1,1,radica IPP en otro Juzgado
radicacion,declina competencia,competencia,,,1,1,Radicación
remite al gtias 2,declina competencia,competencia,,,1,1,Remite al gtias 2
sdeclina competencia,declina competencia,competencia,,,1,1,Sdeclina competencia
efecto extrac fichas,deja sin efecto extracción de fichas dactiloscopicas,varios,,,1,1,s/ efecto extrac fichas
deja sin efecto prohibicion de salida del pais,deja sin efecto prohibicion de salida del pais,varios,,,1,1,deja sin efecto prohibicion de salida del pais
rebeldia s,deja sin efecto rebeldia,rebeldia,,,1,1,Rebeldia s/ efecto
inter serv loc,derivacion al servicio local,derivacion a servicio local,,,1,1,Sobres/inter serv loc
derivacion,derivación al servicio local,derivacion a servicio local,,,149,2,"Sobreseimiento c/ Derivacion | Sobreseimiento, derivacion | sobreseimiento, derivacion"
anotacion conjunta,descartar,descarte,si,no valido como resolucion,1,1,"prisión preventiva, regimen cerrado,anotación conjunta"
autoriza diligenciamiento,descartar,descarte,si,"autoriza diligenciamiento no es valido, esta mal ingresado",2,1,detención-allanamiento-AUTORIZA DILIGENCIAMIENTO | allanamiento/autoriza diligenciamiento/ radica causa
camara gessel,descartar,,si,camara gessel y anticipo extraordinario de prueba es lo mismo,1,1,cámara gessel/anticipo extraordinario de prueba
concedida,descartar,descarte,si,no debe tenerse en cuenta,1,1,elev a juicio solicitada por particular damnificado - concedida
convertir secuestro,descartar,descarte,si,"no debe tenerse en cuenta , ya incluido en aprertura de celular",2,2,Convertir secuestro | convertir secuestro / autoriza apertura
declara no punible,descartar,descarte,si,no debe tomarse en cuenta,2,2,Declara no punible | declara no punible - medida de seguridad
disp med coercion,descartar,descarte,si,"validar manualmente con la causa original, no tiene sentido como resolucion",1,1,Disp med coerción
domicilio familiar,descartar,descarte,si,no es tramite valido,1,1,mantiene medida de seguridad - domicilio familiar
efecto,descartar,descarte,si,efecto se refiere a dejar la rebeldia sin efecto,1,1,Rebeldia s/ efecto
fija aud c,descartar,descarte,si,"no son resoluciones de merito, no deberia estar registrada",1,1,Fija aud c/Fuerza Pub
fija reglas,descartar,descarte,si,"no son resoluciones de merito, no deberia estar registrada",2,1,Fija reglas
fija reglas conduc,descartar,descarte,si,"no son resoluciones de merito, no deberia estar registrada",2,1,Fija reglas conduc
fuerza pub,descartar,descarte,si,"no son resoluciones de merito, no deberia estar registrada",1,1,Fija aud c/Fuerza Pub
grooming,descartar,descarte,si,"grooming es un delito, no un tramite. no debe estar en este dataset",1,1,acepta competencia - grooming
habilitacion de horario,descartar,descarte,si,"habilitacion de horario ya esta incluido dentro de allanamiento, no debe señalarse",2,1,orden allanamiento - HABILITACIÓN DE HORARIO | orden de allanamiento - habilitación de horario
no habilitacion,descartar,descarte,si,"habilitacion de horario ya esta incluido dentro de allanamiento, no debe señalarse",1,1,allanamiento - no habilitación
no habilitacion horario,descartar,descarte,si,"habilitacion de horario ya esta incluido dentro de allanamiento, no debe señalarse",1,1,orden de allanamiento - no detención -no habilitación horario
obligaciones,descartar,descarte,si,“obligaciones” no debe detaqlalrse por separado en ningun caso,1,1,arresto domiciliario - obligaciones
rechazo,descartar,descarte,si,"no aclara que se rechaza, no es valido sin validacion manual en la ipp original",2,1,rechazo
s,descartar,descarte,si,debe eliminarse,1,1,s/ efecto extrac fichas
secuesto,descartar,descarte,,"secuestro no debe ingresarse, ya esta incluidoenb la apertura de celular",1,1,Secuesto/apertura cel
secuestro,descartar,descarte,si,"secuestro no debe ingresarse, ya esta incluido de un allanamiento",7,1,Secuestro | convalida allanamiento-secuestro/autoriza apertura | allanamiento - secuestro
secustro,descartar,descarte,si,"secuestro no debe ingresarse, ya esta incluido de un allanamiento",1,1,allanamiento - secustro
elev a juicio solicitada por particular damnificado,elevacion a juicio,elevacion a juicio,,,1,1,elev a juicio solicitada por particular damnificado - concedida
elev a juicio y no nuli,elevacion a juicio,elevacion a juicio,,,1,1,Elev a juicio y no nuli
elev juicio,elevacion a juicio,elevacion a juicio,,,1,1,No domic / elev juicio
eleva a juicio,elevacion a juicio,elevacion a juicio,,,32,3,"Eleva a juicio | sobreseimiento, Eleva a juicio | no hace lugar a sobreseimiento, eleva a juicio"
elevacion a juicio,elevacion a juicio,elevacion a juicio,,,24,3,"Elevacion a juicio | Elevación a juicio | Morigeracion de prisión preventiva, Regimen Semilibertad, elevación a juicio"
elevacion a juicio concedida,elevacion a juicio,elevacion a juicio,,,3,1,elevación a juicio concedida
remite a juicio,elevacion a juicio,elevacion a juicio,,,3,2,Remite a juicio | libertad con obligaciones/no salida alternativa al conflicto/remite a juicio
embargo,embargo,amparo,,,1,1,Embargo
excarcelacion,excarcelacion,eximicion de prision,,,1,1,excarcelación
eximicion de prision,eximicion de prision,eximicion de prision,,,1,1,Eximicion de prisión
ampliacion de sjp,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,1,1,"ampliacion de SJP, extincion de SJP"
ext de ace,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,1,1,Ext de ace / sobres
extincion accion,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,1,1,Extinción acción
extincion de accion,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,7,1,Extinción de acción | Extinción de  acción
extincion de la acc,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,2,1,Extinción de la acc
extincion de la accion,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,23,1,extinción de la acción | Extinción de la acción | extinción  de la acción
extincion de la accion por cumplimiento,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,1,1,extinción de la acción por cumplimiento
extincion de la accion por cumplimiento de sjp,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,2,1,extinción de la acción por cumplimiento de SJP
extincion de la accion por cumplimiento de suspension de juicio a prueba,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,1,1,extinción de la acción por cumplimiento de suspensión de juicio a prueba
extincion de la accion por cumplimiento sjp,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,1,1,extinción de la acción por cumplimiento SJP
extincion de sjp,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,1,1,"ampliacion de SJP, extincion de SJP"
extincion sjp,extincion de la accion por cumplimiento de suspension de juicio a prueba,salida alternativa,,,82,3,Extinción SJP | Extincion SJP | extincion SJP
hace lugar al habeas corpus,habeas corpus,habeas corpus,,,1,1,hace lugar al habeas corpus
inhibicion,inhibitoria,competencia,,,2,2,Inhibición
inhibitoria,inhibitoria,competencia,,,11,3,Inhibitoria | Inhibitoria/detencion | inhibitoria
se inhibe en caus,inhibitoria,competencia,,,1,1,Se inhibe en caus
se inhibe en la causa,inhibitoria,competencia,,,1,1,Se inhibe en la causa
toma razon de la inhibitoria,inhibitoria,competencia,,,1,1,"toma razón de la inhibitoria, no eximición de prisión"
intervencion de defensa oficial,intervencion de defensa oficial,varios,,,1,1,intervencion de defensa oficial
intervencion de patronato de liberados,intervencion de patronato de liberados,varios,,,2,1,intervencion de patronato de liberados
intimacion de cumplimiento,intimacion de cumplimiento,varios,,,1,1,Intimacion de cumplimiento
libertad,libertad con obligaciones,medidas alternativas,,,9,3,Libertad/decli. comp | Libertad/med 68 | libertad
libertad con obligacion,libertad con obligaciones,medidas alternativas,,,1,1,"cese de prisin preventiva, libertad con obligacion"
libertad con obligaciones,libertad con obligaciones,medidas alternativas,,,8,2,"libertad con obligaciones | sobreseimiento, cese de prision preventiva, libertad con obligaciones | Prisión Preventiva, regiment ede semilibertad, libertad con obligaciones"
libertad concedida,libertad con obligaciones,medidas alternativas,,,8,1,Libertad concedida | libertad concedida
libertad concedida con obligaciones,libertad con obligaciones,medidas alternativas,,,1,1,Libertad concedida con obligaciones
libertad reglada,libertad con obligaciones,medidas alternativas,,,1,1,libertad reglada
falta de merito,libertad por falta de merito,medidas alternativas,,,4,3,"Falta de mérito | falta de merito, prision preventiva, regimen de semilibertad, apertura de celular | no sobreseimiento - falta de mérito - prisión preventiva -régimen semi libertad"
lib x falta de merito,libertad por falta de merito,medidas alternativas,,,1,1,Lib x falta de merito
libertad por falta de merito,libertad por falta de merito,medidas alternativas,,,1,1,Libertad por falta de merito
abstenerse de actos de contacto y perturbacion,medida cautelar,ac 4099,,,1,1,medida cautelar-abstenerse de actos de contacto y perturbación
amplia medida cautelar,medida cautelar,ac 4099,,,1,1,amplia medida cautelar - prohibición de acercamiento
cautelar,medida cautelar,ac 4099,,,3,1,Cautelar
cese hostigamiento,medida cautelar,ac 4099,,,1,1,medida cautelar - cese hostigamiento
exclusion de hogar,medida cautelar,ac 4099,,,1,1,exclusión de hogar - prohibición de acercamiento
